,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
alcohol,1.0,0.1404301775567423,0.24372221294348034,-0.3065978904514604,0.3655033840958429,0.31092006981517456,0.29473988323223427,-0.16220709953246232,0.19273418520351676,0.6354245253017291,-0.02420283900106602,0.1030502104843513,0.6335798586170726
malic_acid,0.1404301775567423,1.0,0.23067357787635215,0.304069127268297,0.08018776232931338,-0.28022473137739157,-0.3252021362699078,0.25523566202792747,-0.24482493479420134,0.2903067060831913,-0.5602648853441009,-0.25518506854003825,-0.05746614592082201
ash,0.24372221294348037,0.23067357787635215,1.0,0.3663736411388953,0.3614878828602607,0.13219337993661087,0.07879580966864502,0.14558274487645012,0.024384234365344745,0.2830468415886015,-0.05018325525406056,-0.0074999096291155955,0.2531634818420878
alcalinity_of_ash,-0.3065978904514604,0.304069127268297,0.36637364113889526,1.0,-0.16955821921236097,-0.37665712270608614,-0.4437699943319113,0.38938986536301295,-0.2536953002387621,-0.0737759830314247,-0.3525070170210767,-0.32588975924683355,-0.4560897287878506
magnesium,0.36550338409584293,0.08018776232931338,0.3614878828602607,-0.16955821921236097,1.0,0.24641695747779999,0.2331666017886391,-0.2367860859322748,0.17364699909359352,0.35702874044977023,0.03609451520073957,0.05696275362334766,0.5075748576366841
total_phenols,0.31092006981517456,-0.28022473137739157,0.13219337993661087,-0.37665712270608614,0.24641695747779996,1.0,0.8794043727926136,-0.44801307401794843,0.6666893714755563,0.011161793956834237,0.4394574760931776,0.6872069959966625,0.419469856664982
flavanoids,0.29473988323223427,-0.32520213626990785,0.07879580966864501,-0.4437699943319113,0.23316660178863907,0.8794043727926136,1.0,-0.5438974001597948,0.7303216865193719,-0.04291038821273013,0.5354301421348118,0.7415328945458866,0.42990441426329884
nonflavanoid_phenols,-0.16220709953246232,0.25523566202792747,0.14558274487645012,0.38938986536301295,-0.2367860859322748,-0.44801307401794843,-0.5438974001597948,1.0,-0.3846288500983506,0.05963852686792111,-0.2678125545937339,-0.4949499832853454,-0.27011194146648787
proanthocyanins,0.19273418520351676,-0.24482493479420134,0.02438423436534474,-0.25369530023876213,0.17364699909359352,0.6666893714755562,0.730321686519372,-0.3846288500983506,1.0,-0.03094714915222596,0.342794651892365,0.5540313800587198,0.3082493232067245
color_intensity,0.6354245253017291,0.2903067060831913,0.2830468415886015,-0.0737759830314247,0.35702874044977023,0.011161793956834235,-0.04291038821273014,0.05963852686792111,-0.03094714915222596,1.0,-0.4185217619000421,-0.3175155959107962,0.4570964199010666
hue,-0.02420283900106602,-0.5602648853441009,-0.05018325525406057,-0.3525070170210767,0.03609451520073958,0.43945747609317765,0.5354301421348118,-0.2678125545937339,0.3427946518923651,-0.41852176190004214,1.0,0.4854543390871689,0.20774048544204404
od280/od315_of_diluted_wines,0.10305021048435131,-0.2551850685400382,-0.007499909629115596,-0.3258897592468336,0.056962753623347656,0.6872069959966624,0.7415328945458866,-0.49494998328534534,0.5540313800587199,-0.31751559591079626,0.48545433908716884,1.0,0.2532656814794617
proline,0.6335798586170724,-0.05746614592082201,0.2531634818420878,-0.4560897287878506,0.5075748576366841,0.419469856664982,0.42990441426329884,-0.2701119414664878,0.3082493232067245,0.45709641990106653,0.20774048544204407,0.25326568147946177,1.0
